complex_id,B0_DockQ_AB,B0_DockQ_AC,B0_DockQ_BC,B0_DockQ_AbAg,B0_iRMSD_AB,B0_LRMSD_AB,B0_fnat_AB,B0_F1_AB,B0_iRMSD_AC,B0_fnat_AC,B0_confidence,B0_iptm,B0_fk_energy,B0_composite_score,B0_n_models,B0_n_settings,B1_DockQ_AB,B1_DockQ_AC,B1_DockQ_BC,B1_DockQ_AbAg,B1_iRMSD_AB,B1_LRMSD_AB,B1_fnat_AB,B1_F1_AB,B1_iRMSD_AC,B1_fnat_AC,B1_confidence,B1_iptm,B1_fk_energy,B1_composite_score,B1_n_models,B1_n_settings,B2_DockQ_AB,B2_DockQ_AC,B2_DockQ_BC,B2_DockQ_AbAg,B2_iRMSD_AB,B2_LRMSD_AB,B2_fnat_AB,B2_F1_AB,B2_iRMSD_AC,B2_fnat_AC,B2_confidence,B2_iptm,B2_fk_energy,B2_composite_score,B2_n_models,B2_n_settings,NF_V2_DockQ_AB,NF_V2_DockQ_AC,NF_V2_DockQ_BC,NF_V2_DockQ_AbAg,NF_V2_iRMSD_AB,NF_V2_LRMSD_AB,NF_V2_fnat_AB,NF_V2_F1_AB,NF_V2_iRMSD_AC,NF_V2_fnat_AC,NF_V2_confidence,NF_V2_iptm,NF_V2_fk_energy,NF_V2_composite_score,NF_V2_n_models,NF_V2_n_settings
8CXC_HLM,0.0035,0.0106,0.6341,0.0070,33.9035,92.2877,0.0000,0.0000,23.4806,0.0000,0.8800,0.6669,,,5,1,0.0040,0.0113,0.6323,0.0077,30.6775,85.7816,0.0000,0.0000,21.4049,0.0000,0.9012,0.8158,,,60.0000,12.0000,0.0035,0.0106,0.6339,0.0070,33.8446,92.1827,0.0000,0.0000,23.4321,0.0000,0.8903,0.7054,,,20.0000,4.0000,0.0035,0.0110,0.6252,0.0072,34.1293,91.7184,0.0000,0.0000,23.2224,0.0000,0.8713,0.6031,0.0001,0.6173,5.0000,1.0000
8CYH_HLM,0.0033,0.0095,0.6635,0.0064,33.7521,95.6289,0.0000,0.0000,22.7414,0.0000,0.8973,0.7703,,,5,1,0.0563,0.0532,0.6576,0.0547,8.0984,45.9112,0.1026,0.0879,6.7243,0.0667,0.8419,0.6014,,,45.0000,9.0000,0.0033,0.0095,0.6636,0.0064,33.7675,95.6502,0.0000,0.0000,22.7511,0.0000,0.8964,0.7675,,,10.0000,2.0000,0.0032,0.0090,0.6642,0.0061,33.9327,96.9206,0.0000,0.0000,22.9528,0.0000,0.8963,0.7120,0.0010,0.4057,5.0000,1.0000
8DE3_BCA,0.6617,0.6094,0.7452,0.6355,2.0621,2.2158,0.7027,0.6047,1.5855,0.5500,0.8828,0.7198,,,5,1,0.6568,0.6239,0.7717,0.6403,1.9163,2.1124,0.6486,0.5926,1.5395,0.5000,0.9211,0.9046,,,45.0000,9.0000,0.6634,0.6098,0.7688,0.6366,1.9525,2.0836,0.6757,0.6410,1.5146,0.4500,0.9254,0.9180,,,5.0000,1.0000,,,,,,,,,,,,,,,,
8DTK_CBA,0.0091,0.0138,0.6027,0.0115,18.1947,58.5139,0.0000,0.0000,13.8302,0.0000,0.8425,0.6487,,,5,1,0.7056,0.7263,0.7203,0.7160,1.6080,2.2799,0.7188,0.7480,1.3509,0.6875,0.9225,0.8983,,,40.0000,8.0000,,,,,,,,,,,,,,,,,0.4304,0.3168,0.7314,0.3736,2.9741,7.5773,0.5312,0.5354,2.7095,0.2188,0.8669,0.7454,0.0015,0.3055,5.0000,1.0000
8E2U_HLA,0.1241,0.0417,0.5912,0.0829,6.8387,18.5326,0.1525,0.1698,10.3612,0.0000,0.7982,0.5546,,,5,1,0.6866,0.7305,0.6499,0.7085,1.3781,2.4330,0.5932,0.6140,1.4863,0.8400,0.8494,0.7309,,,85.0000,17.0000,0.1254,0.0437,0.5910,0.0845,6.7527,18.3522,0.1525,0.1714,10.1165,0.0000,0.8068,0.5953,,,30.0000,6.0000,,,,,,,,,,,,,,,,
8EAY_HLA,0.5634,0.5224,0.7472,0.5429,1.8895,3.4056,0.4419,0.4810,3.0273,0.4419,0.9113,0.9030,,,5,1,0.5818,0.5124,0.7426,0.5471,2.0121,3.1900,0.5116,0.5238,3.0507,0.4419,0.9153,0.9361,,,85.0000,17.0000,0.5619,0.5215,0.7479,0.5417,1.8903,3.4677,0.4419,0.4810,3.0284,0.4419,0.9115,0.9018,,,5.0000,1.0000,,,,,,,,,,,,,,,,
8EZ3_HLA,0.0379,0.1028,0.8235,0.0703,13.8977,30.7900,0.0312,0.0354,5.9923,0.1304,0.8377,0.4170,,,5,1,0.3448,0.2046,0.7156,0.2747,3.7880,7.3704,0.3281,0.3889,4.1839,0.0000,0.8473,0.4750,,,95.0000,19.0000,0.0380,0.1030,0.8235,0.0705,13.8681,30.7142,0.0312,0.0354,5.9811,0.1304,0.8376,0.4194,,,25.0000,5.0000,,,,,,,,,,,,,,,,
8EZ7_HLA,0.1913,0.1493,0.8072,0.1703,4.3108,20.9863,0.3250,0.2524,4.7229,0.0857,0.8682,0.5688,,,5,1,0.5122,0.3332,0.8278,0.4227,1.7972,9.3805,0.6750,0.5510,2.4486,0.2286,0.8780,0.5922,,,60.0000,12.0000,0.1957,0.1562,0.8067,0.1759,4.2017,20.3198,0.3250,0.2574,4.5704,0.0857,0.8684,0.5688,,,15.0000,3.0000,,,,,,,,,,,,,,,,
8EZ8_HLA,0.7024,0.5416,0.6947,0.6220,1.4387,2.3748,0.6588,0.7134,1.3331,0.1875,0.9059,0.8065,,,5,1,0.6827,0.5559,0.6868,0.6193,1.4722,2.5880,0.6235,0.6795,1.3352,0.2500,0.9181,0.8487,,,50.0000,10.0000,0.6935,0.5103,0.6774,0.6019,1.4562,2.7252,0.6588,0.7179,1.5206,0.1875,0.9106,0.8294,,,5.0000,1.0000,,,,,,,,,,,,,,,,
8FAH_HLA,0.0209,0.0207,0.6308,0.0208,18.1750,34.9121,0.0000,0.0000,20.6198,0.0000,0.8503,0.6102,,,5,1,0.6160,0.6183,0.6379,0.6172,1.5606,3.0862,0.4844,0.5636,1.8352,0.5500,0.9322,0.9211,,,35.0000,7.0000,0.0210,0.0207,0.6285,0.0209,18.1374,34.8035,0.0000,0.0000,20.5829,0.0000,0.8508,0.6147,,,10.0000,2.0000,0.0204,0.0204,0.6008,0.0204,18.0109,35.4742,0.0000,0.0000,20.6348,0.0000,0.8580,0.6366,0.0014,0.3034,5.0000,1.0000
8FGX_BAC,0.0325,0.0100,0.6782,0.0212,14.2101,27.6177,0.0000,0.0000,13.4460,0.0000,0.8327,0.5254,,,5,1,0.5350,0.5379,0.6816,0.5365,2.9282,3.0082,0.5085,0.6452,3.4328,0.5455,0.8461,0.5638,,,50.0000,10.0000,0.0395,0.0090,0.6561,0.0243,15.4381,24.2739,0.0000,0.0000,15.2149,0.0000,0.8908,0.7859,,,20.0000,4.0000,0.1472,0.0289,0.6759,0.0880,6.8086,15.0173,0.1525,0.1682,9.0762,0.0000,0.8719,0.6816,0.0021,0.3287,5.0000,1.0000
8FXB_HLE,0.0109,0.0167,0.9450,0.0138,13.7577,58.2934,0.0000,0.0000,11.4937,0.0000,0.8259,0.5181,,,5,1,0.9262,0.9157,0.9497,0.9209,0.6384,1.1907,0.9512,0.9512,0.5005,0.8750,0.8735,0.6332,,,15.0000,3.0000,0.0116,0.0179,0.9363,0.0148,13.2176,56.3723,0.0000,0.0000,11.3945,0.0000,0.8264,0.5025,,,10.0000,2.0000,0.0111,0.0172,0.9419,0.0142,13.5090,57.8080,0.0000,0.0000,11.3941,0.0000,0.8249,0.5076,0.0003,0.5738,5.0000,1.0000
8GH4_HLE,0.1710,0.1278,0.6182,0.1494,3.7453,20.5345,0.2286,0.3265,3.7991,0.0833,0.8250,0.4426,,,5,1,0.2786,0.4633,0.6124,0.3710,3.8080,8.0054,0.1714,0.2609,2.0662,0.5417,0.8454,0.5433,,,60.0000,12.0000,0.1515,0.2859,0.6037,0.2187,4.6739,17.5759,0.1714,0.2400,2.6586,0.4167,0.8230,0.4611,,,15.0000,3.0000,0.1706,0.2877,0.6151,0.2292,4.0928,15.9086,0.1714,0.2667,2.4074,0.3333,0.8232,0.4380,0.0000,0.5924,5.0000,1.0000
8GHP_HLA,0.0112,0.0136,0.7881,0.0124,12.6171,60.2420,0.0000,0.0000,11.8577,0.0000,0.8302,0.6960,,,5,1,0.0786,0.0902,0.7701,0.0844,6.0922,18.2316,0.0000,0.0000,6.9096,0.1053,0.7810,0.4018,,,35.0000,7.0000,0.0111,0.0136,0.7879,0.0124,12.6333,60.3081,0.0000,0.0000,11.8412,0.0000,0.8394,0.7403,,,5.0000,1.0000,,,,,,,,,,,,,,,,
8GP5_EFX,0.0162,0.0055,0.6520,0.0109,15.1835,42.2828,0.0000,0.0000,23.2279,0.0000,0.7477,0.5478,,,5,1,0.5053,0.6466,0.7492,0.5759,2.7422,4.7526,0.5238,0.5410,2.0773,0.7368,0.8088,0.7673,,,90.0000,18.0000,0.0175,0.0057,0.6696,0.0116,14.6682,40.5945,0.0000,0.0000,22.7082,0.0000,0.7170,0.3751,,,20.0000,4.0000,,,,,,,,,,,,,,,,
8GQ1_HLC,0.8520,0.8849,0.6551,0.8684,0.8826,1.4105,0.8400,0.9032,0.8621,0.9286,0.9768,0.9697,,,5,1,0.8521,0.8851,0.6551,0.8686,0.8822,1.4098,0.8400,0.9032,0.8610,0.9286,0.9770,0.9704,,,90.0000,18.0000,0.8518,0.8848,0.6551,0.8683,0.8839,1.4129,0.8400,0.9032,0.8624,0.9286,0.9768,0.9703,,,10.0000,2.0000,0.8256,0.8740,0.6519,0.8498,0.9582,1.5813,0.8000,0.8791,0.8600,0.8929,0.9768,0.9658,0.0005,0.6846,5.0000,1.0000
8HES_HLC,0.4826,0.6340,0.5637,0.5583,2.0037,7.4614,0.5238,0.6111,1.6312,0.7500,0.8086,0.4572,,,5,1,0.6972,0.7701,0.5824,0.7337,1.4227,3.5577,0.7143,0.7965,1.2203,0.8750,0.8158,0.4984,,,60.0000,12.0000,0.4795,0.5884,0.5689,0.5339,1.9946,7.3948,0.5079,0.5872,1.6299,0.6250,0.8125,0.4689,,,5.0000,1.0000,0.5267,0.7946,0.5541,0.6607,2.2693,4.8777,0.5238,0.5893,1.2616,1.0000,0.8091,0.4582,0.0007,0.3526,5.0000,1.0000
8HGM_CDB,0.7485,0.8347,0.6889,0.7916,1.3131,3.9178,0.8545,0.8319,0.8695,1.0000,0.8858,0.7607,,,5,1,0.7874,0.8409,0.6863,0.8141,1.1558,3.4028,0.8727,0.8496,0.9126,1.0000,0.8955,0.7977,,,55.0000,11.0000,,,,,,,,,,,,,,,,,0.5520,0.7886,0.7181,0.6703,1.9109,6.1481,0.6182,0.6602,1.0567,1.0000,0.8560,0.6334,0.0006,0.5000,5.0000,1.0000
8HLB_BCA,0.0462,0.0159,0.6868,0.0311,11.4425,42.5129,0.0833,0.0769,15.9648,0.0000,0.8725,0.6445,,,5,1,0.4132,0.4302,0.6882,0.4217,1.9816,6.9745,0.2778,0.3571,2.1569,0.3846,0.8779,0.8436,,,75.0000,15.0000,0.0462,0.0159,0.6871,0.0310,11.4396,42.5353,0.0833,0.0769,15.9823,0.0000,0.8801,0.6696,,,20.0000,4.0000,0.0550,0.0154,0.6839,0.0352,11.6836,42.8830,0.1111,0.1013,16.2493,0.0000,0.8503,0.6181,0.0011,0.2998,5.0000,1.0000
8HLB_DEA,0.0228,0.0197,0.6029,0.0213,11.2802,36.6781,0.0000,0.0000,17.0021,0.0000,0.8550,0.6681,,,5,1,0.1402,0.0293,0.5907,0.0848,5.5597,34.0243,0.2941,0.3774,7.7179,0.0000,0.8596,0.5942,,,40.0000,8.0000,0.0227,0.0197,0.6061,0.0212,11.3149,36.7505,0.0000,0.0000,17.0391,0.0000,0.8570,0.6774,,,15.0000,3.0000,0.0225,0.0198,0.6097,0.0211,11.5638,36.7402,0.0000,0.0000,17.4457,0.0000,0.8511,0.6566,0.0003,0.4441,5.0000,1.0000
8IDN_HLA,0.0114,0.0190,0.7056,0.0152,12.9820,57.8867,0.0000,0.0000,11.7977,0.0000,0.8129,0.4559,,,5,1,0.5270,0.2700,0.7128,0.3985,1.9747,3.6597,0.3714,0.3881,3.9965,0.1333,0.8314,0.5624,,,60.0000,12.0000,0.0112,0.0197,0.7299,0.0154,13.0483,58.6314,0.0000,0.0000,11.1387,0.0000,0.8205,0.4962,,,5.0000,1.0000,0.5204,0.2450,0.7011,0.3827,2.0287,3.7626,0.3714,0.3881,4.1230,0.0667,0.8205,0.4962,0.0009,0.3371,5.0000,1.0000
8IV4_ABG,0.4146,0.3130,0.6446,0.3638,2.6055,11.7686,0.6522,0.6667,2.5250,0.4500,0.8823,0.6512,,,5,1,0.4346,0.3166,0.6456,0.3756,2.5474,10.5354,0.6522,0.7143,2.4110,0.4000,0.8739,0.6188,,,15.0000,3.0000,,,,,,,,,,,,,,,,,0.4411,0.3232,0.6310,0.3822,2.5698,10.0478,0.6522,0.7143,2.4270,0.4000,0.8557,0.5465,0.0005,0.4576,5.0000,1.0000
8IV4_HLG,0.0166,0.1203,0.8064,0.0685,13.1274,43.3984,0.0000,0.0000,8.3538,0.1081,0.8371,0.5415,,,5,1,0.0167,0.1370,0.8004,0.0769,13.3696,42.9290,0.0000,0.0000,8.1102,0.1351,0.8679,0.6865,,,25.0000,5.0000,,,,,,,,,,,,,,,,,0.0158,0.1328,0.7766,0.0743,13.7010,44.3616,0.0000,0.0000,8.2833,0.1351,0.8340,0.5284,0.0006,0.4534,5.0000,1.0000
8IV5_ABG,0.1190,0.0497,0.7791,0.0843,9.2622,19.1410,0.1667,0.1558,11.3681,0.0870,0.8594,0.6682,,,5,1,0.7918,0.7297,0.7574,0.7608,0.9856,1.8526,0.7222,0.7761,1.3160,0.6957,0.8540,0.6079,,,35.0000,7.0000,,,,,,,,,,,,,,,,,0.1593,0.0382,0.7738,0.0987,5.9253,23.9290,0.3056,0.2821,7.5703,0.0000,0.8372,0.5708,0.0005,0.3341,5.0000,1.0000
8IVA_CEG,0.2799,0.1090,0.6943,0.1945,5.0823,13.5140,0.4762,0.3448,4.9121,0.1667,0.8304,0.4985,,,5,1,0.4246,0.3649,0.6901,0.3948,2.7526,8.9635,0.5714,0.5333,2.4351,0.3889,0.8197,0.4412,,,10.0000,2.0000,,,,,,,,,,,,,,,,,0.3128,0.1226,0.6625,0.2177,4.6023,13.9434,0.5714,0.4211,4.2505,0.1667,0.8176,0.4505,0.0004,0.5293,5.0000,1.0000
8IVX_HLA,0.0512,0.0068,0.5866,0.0290,13.6282,30.0975,0.0678,0.0734,20.3828,0.0000,0.7562,0.3126,,,5,1,0.0461,0.0534,0.5499,0.0498,11.6139,24.8139,0.0169,0.0217,5.7057,0.0000,0.8615,0.7933,,,45.0000,9.0000,0.0488,0.0076,0.5465,0.0282,13.7626,28.1281,0.0508,0.0625,19.3938,0.0000,0.8272,0.6418,,,10.0000,2.0000,,,,,,,,,,,,,,,,
8IX3_HLG,0.2011,0.1990,0.5814,0.2001,4.8505,22.2636,0.3889,0.3836,2.9306,0.2857,0.8053,0.5010,,,5,1,0.2312,0.2759,0.5836,0.2535,4.6911,19.7448,0.4444,0.4051,2.5080,0.4286,0.8488,0.6632,,,40.0000,8.0000,,,,,,,,,,,,,,,,,0.1159,0.0294,0.5815,0.0726,7.0796,28.3426,0.2222,0.1702,6.7489,0.0000,0.7971,0.4845,0.0001,0.5625,5.0000,1.0000
8J1T_HKF,0.7453,0.6844,0.7240,0.7149,1.2024,2.2039,0.6901,0.7538,1.5285,0.6129,0.8532,0.5942,,,5,1,0.8000,0.6764,0.7189,0.7382,1.1305,1.7502,0.8028,0.8201,1.6389,0.6452,0.8528,0.6093,,,75.0000,15.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8OL9_BAH,0.1454,0.2410,0.5941,0.1932,6.6939,14.8943,0.1429,0.1404,3.1730,0.3750,0.9619,0.8863,,,5,1,0.7064,0.7986,0.6142,0.7525,1.5069,3.2645,0.7500,0.8235,1.1188,0.8750,0.9320,0.7456,,,50.0000,10.0000,0.7134,0.7830,0.6196,0.7482,1.5104,3.9505,0.8214,0.8519,1.0418,0.8750,0.9485,0.8268,,,5.0000,1.0000,0.6798,0.8040,0.6152,0.7419,1.5291,3.2786,0.6786,0.7755,1.0688,0.8750,0.8960,0.5804,0.0001,0.5541,5.0000,1.0000
8OXW_BCA,0.0081,0.0129,0.6350,0.0105,17.3636,64.9122,0.0000,0.0000,19.2680,0.0000,0.8152,0.4001,,,5,1,0.2377,0.2360,0.6097,0.2369,4.7575,14.8157,0.3750,0.3896,4.6489,0.3226,0.8496,0.5535,,,50.0000,10.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8OXX_BCA,0.0163,0.0193,0.6564,0.0178,10.3447,49.8283,0.0000,0.0000,10.3082,0.0000,0.7955,0.3446,,,5,1,0.1791,0.2242,0.6217,0.2016,4.1239,17.4366,0.2286,0.2162,3.9666,0.3500,0.8338,0.4856,,,40.0000,8.0000,0.0204,0.0828,0.6376,0.0516,13.4142,37.4801,0.0000,0.0000,12.1595,0.2000,0.7922,0.3419,,,5.0000,1.0000,,,,,,,,,,,,,,,,
8PE9_HLA,0.0479,0.0491,0.5814,0.0485,14.1217,21.7588,0.0000,0.0000,13.1869,0.0000,0.8668,0.5929,,,5,1,0.1136,0.0851,0.6219,0.0993,9.0030,14.9245,0.0690,0.0635,8.3632,0.0000,0.8597,0.6014,,,45.0000,9.0000,0.0503,0.0508,0.5969,0.0506,13.9196,21.1186,0.0000,0.0000,13.2686,0.0000,0.8569,0.5265,,,15.0000,3.0000,0.0524,0.0522,0.6008,0.0523,13.6405,20.6104,0.0000,0.0000,13.5929,0.0000,0.8474,0.5261,0.0003,0.5663,5.0000,1.0000
8SLB_HLA,0.0367,0.1221,0.6388,0.0794,8.9122,31.5933,0.0149,0.0169,5.9262,0.0588,0.8180,0.4587,,,5,1,0.5223,0.5083,0.6323,0.5153,2.2284,3.5395,0.4030,0.4252,1.6137,0.2941,0.8348,0.5389,,,125.0000,25.0000,0.4126,0.3976,0.6571,0.4051,2.8477,5.8656,0.3433,0.3740,2.3015,0.2059,0.8644,0.6848,,,20.0000,4.0000,0.0780,0.0399,0.6002,0.0589,8.4918,31.1272,0.1343,0.1488,8.1547,0.0000,0.8427,0.5717,0.0016,0.3892,5.0000,1.0000
8T9Z_HLA,0.0122,0.0077,0.7084,0.0099,15.1365,51.2642,0.0000,0.0000,20.5810,0.0000,0.7688,0.3921,,,5,1,0.2020,0.0330,0.6796,0.1175,6.8093,13.0920,0.2632,0.2381,11.3804,0.0000,0.7710,0.3591,,,80.0000,16.0000,0.0118,0.0080,0.7087,0.0099,15.0389,52.3983,0.0000,0.0000,19.8541,0.0000,0.7678,0.3719,,,10.0000,2.0000,,,,,,,,,,,,,,,,
8TFR_ABC,0.0077,0.0091,0.6200,0.0084,19.9561,63.7246,0.0000,0.0000,15.4829,0.0000,0.9056,0.9159,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0077,0.0089,0.6499,0.0083,19.8322,64.0426,0.0000,0.0000,15.5818,0.0000,0.8961,0.8627,0.0003,0.5708,5.0000,1.0000
8TRS_AGD,0.1449,0.1710,0.6593,0.1579,4.5299,14.7657,0.0870,0.0533,4.6711,0.1163,0.8734,0.8965,,,5,1,0.6289,0.6036,0.6243,0.6163,1.5673,4.8226,0.6522,0.5660,1.7125,0.5581,0.8291,0.6174,,,60.0000,12.0000,0.1454,0.1627,0.6539,0.1541,4.5171,14.7232,0.0870,0.0533,4.6842,0.0930,0.8723,0.8974,,,25.0000,5.0000,0.3495,0.1959,0.6601,0.2727,2.7966,16.1789,0.6087,0.4667,3.9162,0.2093,0.8617,0.8179,0.0010,0.3016,5.0000,1.0000
8X0T_HLA,0.0334,0.0836,0.5855,0.0585,9.5844,29.5987,0.0000,0.0000,11.9079,0.1600,0.8857,0.7824,,,5,1,0.0284,0.0952,0.5609,0.0618,10.0383,32.6957,0.0000,0.0000,11.9367,0.2000,0.8793,0.7539,,,50.0000,10.0000,0.0436,0.0792,0.5548,0.0614,9.4848,30.3075,0.0333,0.0400,12.2435,0.1400,0.9137,0.8584,,,15.0000,3.0000,0.0317,0.0898,0.5844,0.0607,9.4110,30.9029,0.0000,0.0000,11.5871,0.1800,0.9118,0.8419,0.0006,0.5196,5.0000,1.0000
